Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,0,26,3,0,0,0,0,0,3,-1,-1,0,0,0,0,0
0,0,39,6,0,0,0,0,0,6,9253,9253,0,0,0,0,0
0,0,51,3,0,0,0,1,0,3,4120,4120,0,0,0,0,0
0,0,59,5,1,0,1,0,0,5,3650,3650,0,0,0,0,0
0,0,50,5,0,0,0,0,0,6,8044,8044,0,0,0,0,0
0,0,60,4,1,0,0,0,0,3,2403,2403,0,0,0,0,0
0,0,18,2,1,0,0,0,0,2,-1,-1,0,0,0,0,0
0,0,44,3,0,0,0,0,0,5,4825,4825,0,0,0,0,0
0,0,65,4,0,0,0,0,0,7,7133,7133,0,0,0,0,0
0,0,39,4,1,0,0,0,0,5,6901,6901,0,0,0,0,0
0,0,38,4,0,0,0,1,0,4,3899,3899,0,0,0,0,0
0,0,52,5,0,0,0,1,0,5,9224,9224,0,0,0,0,0
0,0,33,3,0,0,0,0,0,8,7449,7449,0,0,0,0,0
1,0,118,5,1,0,0,0,0,4,7287,7287,0,0,0,0,0
0,0,27,2,1,0,0,0,0,2,2625,2625,0,0,0,0,0
0,0,78,9,0,0,0,0,0,6,11192,11192,0,0,0,0,0
0,0,24,3,0,0,0,0,0,4,4996,4996,0,0,0,0,0
0,0,68,5,1,0,0,0,0,5,3526,3526,0,0,0,0,0
0,0,41,4,0,0,0,0,0,7,7130,7130,0,0,0,0,0
0,0,48,4,0,0,0,0,0,7,7134,7134,0,0,0,0,0
0,0,29,3,0,0,0,0,0,2,3904,3904,0,0,0,0,0
0,0,24,3,0,0,0,0,0,2,2980,2980,0,0,0,0,0
0,0,50,4,0,0,0,0,0,7,7427,7427,0,0,0,0,0
0,0,39,6,0,0,0,0,0,6,8627,8627,0,0,0,0,0
0,0,31,3,0,0,0,0,0,2,2425,2425,0,0,0,0,0
0,0,78,8,0,0,0,0,0,4,6068,6068,0,0,0,0,0
0,0,29,3,0,0,0,0,0,2,3477,3477,0,0,0,0,0
1,0,33,3,2,0,0,0,0,8,8965,8965,0,0,0,0,0
0,0,24,3,0,0,0,0,0,2,-1,-1,0,0,0,0,0
0,0,39,4,0,0,0,0,0,4,6096,6096,0,0,0,0,0
